mgi_symbol,NASH_CD_log2FoldChange,Leu_CD_log2FoldChange,Gly_CD_log2FoldChange,DT125_CD_log2FoldChange,DT500_CD_log2FoldChange
75,Ppargc1a,-0.5309878,-0.35014,0.8025841,0.9298895,0.3399239
156,Timp1,5.356330056,5.489458061,2.917045906,3.460965449,1.468598677
590,Ccl2,3.95619,3.415776,1.908697,2.110244,1.188328
710,Hadha,-0.6071882,-0.6437698,-0.3389505,-0.3130067,-0.2403969
855,Ccr2,2.69852,2.939423,1.534567,1.60229,0.5357116
934,Tgfbr2,0.8723693,0.9307373,0.7984109,0.6525408,0.3328293
1051,Col4a1,2.274749,2.152538,1.224945,0.9855813,0.5526104
1072,Serpine1,3.322169,3.815382,2.561174,2.762812,1.057691
1221,Ccr1,3.041601,3.167142,1.878536,2.486048,1.650041
1351,Col12a1,1.732272,1.486802,0.9964499,0.9885964,0.5359262
1539,Col1a1,4.405062121,4.324500667,2.657663597,2.49581837,1.702508284
2001,Col1a2,3.134426,3.065082,1.715028,1.706103,1.094762
2003,Tgfb3,2.033147808,1.815342049,1.000697809,1.343544276,1.14963834
2206,Col4a2,1.860283,1.733001,0.9618704,0.6810706,0.3945059
2367,Tnfrsf12a,1.844936,1.734014,0.12559,0.8949428,0.5636279
2383,Acaa2,-0.7770202,-0.7356319,-0.3784026,-0.2729818,-0.2600262
2727,Tgfb2,2.437993,2.352627,0.9464073,1.188341,0.000149592
2840,Acbd5,-0.5036938,-0.5853729,-0.222326,-0.2413998,-0.2924347
3135,Irak3,1.932583969,1.515987533,1.374577652,0.942675362,0.926026602
3420,Hadhb,-0.5231598,-0.561954,-0.231477,-0.226433,-0.2145609
3758,Tlr2,2.080469,1.904651,0.9959327,0.6591914,0.9242331
4139,Tlr1,2.418327,2.026262,1.213021,0.9595268,0.4504186
4262,Ccl5,2.005613,2.432487,0.873128,0.9036474,0.9052234
4448,Tgfbr1,0.469894568,0.545064263,-0.175283674,0.236423567,0.2495956
5729,Ppara,-0.7563191,-0.7134131,-0.01112687,-0.2396782,-0.1050906
5737,Tgfb1,1.115991934,0.825539284,0.618439024,0.304399957,0.263728695
6264,Acox1,-0.230478883,-0.330518114,0.113921023,0.206202757,0.236452919
6559,Icam1,1.598384,1.450086,0.7751485,0.3837344,0.5538708
7181,Acot3,-3.785600582,-2.863817146,-0.131121303,-0.688464562,-0.541421177
7378,Acadvl,-0.588947786,-0.523841467,-0.128206627,-0.133650024,0.059659367
7548,Cpt2,-0.5220542,-0.4934893,-0.04555709,-0.1213451,0.02067303
7689,Relb,1.922908871,1.760325623,0.412921992,0.361486686,0.322492772
8242,Cd86,1.380012,0.8691317,0.6935322,0.2902471,0.2111922
8753,Nfkb2,1.401354,1.234465,0.3411641,0.1770196,0.1726722
9419,Cxcl1,1.860364,1.344708,-0.3359599,0.5612371,1.44337
9743,Nfkb1,0.7036363,0.5173705,0.2129934,0.08582248,0.07283433
10182,Tlr4,0.7197306,0.8114166,0.6143259,0.1683003,0.1446413
10332,Ccr5,1.214541,1.439229,0.7727049,0.3720838,0.2863685
10597,Nudt19,-0.5116915,-0.2961269,-0.09895426,-0.0789888,0.02839856
10727,Cd80,1.352019,0.6222432,0.2396694,0.2471561,0.4894491
10813,Tnfrsf1a,0.5192326,0.3180472,0.2995205,-0.08618788,0.05620136
11235,Acsm5,-0.3577424,-0.4009844,0.241062,0.06846663,0.09546046
12073,Acsl1,-1.102418492,-1.099918529,0.028025765,-0.084326233,0.103820291
12350,Acot4,-1.685757,-1.378062,0.02619149,-0.08922339,-0.1664927
12447,Acadsb,-0.6296543,-0.5452121,-0.1716159,-0.07045978,0.04372053
13509,Acads,-0.1599615,-0.2126253,0.04760429,-0.01847779,0.04016079
14456,Acadl,-0.4926177,-0.4020444,-0.1129211,-0.009840458,0.04627924
14634,Acadm,-0.5918004,-0.4033615,-0.09669864,-0.01210478,0.03603202
15937,Tnf,2.70369,2.662142,-0.02226377,0.04451414,1.017113
16341,Tnfrsf9,3.510389,2.742707,1.833207,2.402314,1.093182
